Object Type,Unit of Measurement,ID,Value,Unit,D
Line,Length,1,12.01,cm,30
Line,Length,2,12.97,cm,30
Line,Length,3,13.13,cm,30
Line,Length,4,12.79,cm,30
Line,Length,5,12.74,cm,30
Line,Length,6,13.72,cm,30
Line,Length,7,13.22,cm,30
Line,Length,8,12.65,cm,30
Line,Length,9,12.37,cm,30
Line,Length,10,12.72,cm,30
Line,Length,11,11.47,cm,45
Line,Length,12,12.94,cm,45
Line,Length,13,11.86,cm,45
Line,Length,14,13.59,cm,45
Line,Length,15,12.28,cm,45
Line,Length,16,10.93,cm,45
Line,Length,17,10.93,cm,45
Line,Length,18,12.76,cm,45
Line,Length,19,11.89,cm,45
Line,Length,20,13.11,cm,45
Line,Length,21,12.65,cm,60
Line,Length,22,12.59,cm,60
Line,Length,23,11.87,cm,60
Line,Length,24,11.16,cm,60
Line,Length,25,10.98,cm,60
Line,Length,26,11.95,cm,60
Line,Length,27,11.5,cm,60
Line,Length,28,11.14,cm,60
Line,Length,29,11.79,cm,60
Line,Length,30,11.75,cm,60
Line,Length,31,10.7,cm,75
Line,Length,32,10.49,cm,75
Line,Length,33,10.17,cm,75
Line,Length,34,10.82,cm,75
Line,Length,35,11.28,cm,75
Line,Length,36,12.26,cm,75
Line,Length,37,9.87,cm,75
Line,Length,38,11.22,cm,75
Line,Length,39,10.57,cm,75
Line,Length,40,11.53,cm,75
Line,Length,41,9.82,cm,90
Line,Length,42,11.25,cm,90
Line,Length,43,8.95,cm,90
Line,Length,44,9.78,cm,90
Line,Length,45,10.45,cm,90
Line,Length,46,11.25,cm,90
Line,Length,47,7.85,cm,90
Line,Length,48,9.66,cm,90
Line,Length,49,10.29,cm,90
Line,Length,50,10.47,cm,90
Line,Length,51,7.09,cm,105
Line,Length,52,8.62,cm,105
Line,Length,53,9.06,cm,105
Line,Length,54,6.44,cm,105
Line,Length,55,8.5,cm,105
Line,Length,56,9.78,cm,105
Line,Length,57,9.58,cm,105
Line,Length,58,8.92,cm,105
Line,Length,59,9.29,cm,105
Line,Length,60,5.95,cm,105
Line,Length,61,13.28,cm,15
Line,Length,62,11.03,cm,15
Line,Length,63,11.86,cm,15
Line,Length,64,14.25,cm,15
Line,Length,65,13.76,cm,15
Line,Length,66,11.8,cm,15
Line,Length,67,13.92,cm,15
Line,Length,68,13.84,cm,15
Line,Length,69,13.65,cm,15
Line,Length,70,12.56,cm,15
Line,Length,71,11.72,cm,15
Line,Length,72,14.06,cm,15
Line,Length,73,7.77,cm,120
Line,Length,74,7.45,cm,120
Line,Length,75,9.04,cm,120
Line,Length,76,8.88,cm,120
Line,Length,77,6.49,cm,120
Line,Length,78,6.49,cm,120
Line,Length,79,7.44,cm,120
Line,Length,80,9.34,cm,120
Line,Length,81,11.49,cm,120
Line,Length,82,7.43,cm,120
Line,Length,83,8.67,cm,120
Line,Length,84,7.19,cm,120
Line,Length,85,7.46,cm,120
Line,Length,86,10.75,cm,135
Line,Length,87,4.97,cm,135
Line,Length,88,7.39,cm,135
Line,Length,89,6.87,cm,135
Line,Length,90,9.78,cm,135
Line,Length,91,3.91,cm,135
Line,Length,92,8.09,cm,135
Line,Length,93,8.67,cm,135
Line,Length,94,6.86,cm,135
Line,Length,95,8.9,cm,135
Line,Length,96,6.94,cm,135
Line,Length,97,6.34,cm,135
Line,Length,98,6.06,cm,135
Line,Length,99,9.16,cm,135
Line,Length,100,6.8,cm,135
Line,Length,101,4.27,cm,150
Line,Length,102,5.77,cm,150
Line,Length,103,9.65,cm,150
Line,Length,104,8.48,cm,150
Line,Length,105,6.33,cm,150
Line,Length,106,5.46,cm,150
Line,Length,107,9.4,cm,150
Line,Length,108,7.51,cm,150
Line,Length,109,4.59,cm,150
Line,Length,110,3.9,cm,150
Line,Length,111,6.73,cm,150
Line,Length,112,6.89,cm,150
Line,Length,113,6.95,cm,150
Line,Length,114,5.29,cm,150
Line,Length,115,4.58,cm,150
