"Object Type","Unit of Measurement","ID","Value","Unit"
"Line","Length","62","15.96","cm"
"Line","Length","63","15.08","cm"
"Line","Length","64","15.8","cm"
"Line","Length","65","15.82","cm"
"Line","Length","66","15.74","cm"
"Line","Length","67","14.71","cm"
"Line","Length","68","14.89","cm"
"Line","Length","69","16.75","cm"
"Line","Length","70","14.88","cm"
"Line","Length","71","15.25","cm"
"Line","Length","72","15.51","cm"
"Line","Length","73","16.82","cm"
"Line","Length","74","16.51","cm"
"Line","Length","75","16.22","cm"
"Line","Length","76","17.32","cm"
"Line","Length","77","16.28","cm"
"Line","Length","78","16.91","cm"
"Line","Length","79","14.93","cm"
"Line","Length","80","15.69","cm"
"Line","Length","81","15.85","cm"
"Line","Length","82","16.29","cm"
"Line","Length","83","16.17","cm"
"Line","Length","84","16.34","cm"
"Line","Length","85","18.11","cm"
"Line","Length","86","16.06","cm"
"Line","Length","87","16.43","cm"
"Line","Length","88","17.51","cm"
"Line","Length","89","15.62","cm"
"Line","Length","90","14.02","cm"
"Line","Length","91","16.57","cm"
"Line","Length","92","17.71","cm"
"Line","Length","93","15.53","cm"
"Line","Length","94","15.03","cm"
"Line","Length","95","15.7","cm"
"Line","Length","96","15.89","cm"
"Line","Length","97","16.15","cm"
"Line","Length","98","16.84","cm"
"Line","Length","99","16","cm"
"Line","Length","100","15.64","cm"
"Line","Length","101","16.54","cm"
"Line","Length","102","16.37","cm"
"Line","Length","103","15.02","cm"
"Line","Length","104","15.99","cm"
"Line","Length","105","15.13","cm"
"Line","Length","106","16.01","cm"
"Line","Length","107","15.86","cm"
"Line","Length","108","15.23","cm"
"Line","Length","109","15.94","cm"
"Line","Length","110","16.42","cm"
"Line","Length","111","15.42","cm"
"Line","Length","112","15.3","cm"
"Line","Length","113","15.81","cm"
"Line","Length","114","15.65","cm"
"Line","Length","115","15.4","cm"
"Line","Length","116","15.28","cm"
"Line","Length","117","14.98","cm"
"Line","Length","118","16.32","cm"
"Line","Length","119","15.44","cm"
"Line","Length","120","14.54","cm"
"Line","Length","121","15.03","cm"
"Line","Length","122","14.22","cm"
"Line","Length","123","13.47","cm"
"Line","Length","124","14.02","cm"
"Line","Length","125","14.18","cm"
"Line","Length","126","14.32","cm"
"Line","Length","127","15.31","cm"
"Line","Length","128","14.45","cm"
"Line","Length","129","13.63","cm"
"Line","Length","130","14.1","cm"
"Line","Length","131","13.22","cm"
"Line","Length","132","13.41","cm"
"Line","Length","133","15.28","cm"
"Line","Length","134","14.71","cm"
"Line","Length","135","16.36","cm"
"Line","Length","136","15.17","cm"
"Line","Length","137","14.11","cm"
"Line","Length","138","14.45","cm"
"Line","Length","139","13.19","cm"
"Line","Length","140","13.35","cm"
"Line","Length","141","14.1","cm"
"Line","Length","142","15.73","cm"
"Line","Length","143","11.52","cm"
"Line","Length","144","13.46","cm"
"Line","Length","145","12.8","cm"
"Line","Length","146","14.04","cm"
"Line","Length","147","15.01","cm"
"Line","Length","148","13.46","cm"
"Line","Length","149","14.48","cm"
"Line","Length","150","14.63","cm"
"Line","Length","151","13.6","cm"
"Line","Length","152","13.1","cm"
"Line","Length","153","13.87","cm"
"Line","Length","154","13.08","cm"
"Line","Length","155","14.73","cm"
"Line","Length","156","14.61","cm"
"Line","Length","157","15.76","cm"
"Line","Length","158","12.24","cm"
"Line","Length","159","11.94","cm"
"Line","Length","160","11.59","cm"
"Line","Length","161","10.14","cm"
